n,Karatsuba
829,1919500
830,1914129
831,1925404
832,1929955
833,1932702
834,1946437
835,1926552
836,1945453
837,1935531
838,1944756
839,1948979
840,1941845
841,1961648
842,1951603
843,1967716
844,1961607
845,1964313
846,1962796
847,1967429
848,1990471
849,1982845
850,1980180
851,1983132
852,2001295
853,2003427
854,1998015
855,2012283
856,2015194
857,2020483
858,2020401
859,2019376
860,2019786
861,2034915
862,2032127
863,2044591
864,2049470
865,2038113
866,2055292
867,2047461
868,2048732
869,2059228
870,2067305
871,2071446
872,2095800
873,2077760
874,2097973
875,2104369
876,2088584
877,2114906
878,2105968
879,2113307
880,2123926
881,2111339
882,2109863
883,2142581
884,2133233
885,2153159
886,2126632
887,2150945
888,2141023
889,2156439
890,2157136
891,2164885
892,2155660
893,2187845
894,2185877
895,2169641
896,2176488
897,2190838
898,2192519
899,2191822
900,2197726
901,2206131
902,2213429
903,2208632
904,2235118
905,2212691
906,2226139
907,2221670
908,2216627
909,2212117
910,2235733
911,2247541
912,2231961
913,2247951
914,2264064
915,2266483
916,2267631
917,2262219
918,2280054
919,2270419
920,2275749
921,2296495
922,2303178
923,2293092
924,2293051
925,2301948
926,2297479
927,2315191
928,2320029
929,2307688
930,2326425
931,2317897
932,2327409
933,2330115
934,2335937
935,2330812
936,2343235
937,2351435
938,2350902
939,2353239
940,2357052
941,2352009
942,2374395
943,2367753
944,2370254
945,2375871
946,2381652
947,2378700
948,2401578
949,2393460
950,2408753
951,2398872
952,2398257
953,2406580
954,2422078
955,2426014
956,2438683
957,2436223
958,2452418
959,2441963
960,2435977
961,2454673
962,2440610
963,2449138
964,2450696
965,2458732
966,2464062
967,2470540
968,2472139
969,2469187
970,2485833
971,2481774
972,2496124
973,2487063
974,2483947
975,2490466
976,2499281
977,2494976
978,2510269
979,2515353
980,2535853
981,2525152
982,2527243
983,2520150
984,2534951
985,2535525
986,2536181
987,2536222
988,2545078
989,2553360
990,2549219
991,2562421
992,2557542
993,2546595
994,2568694
995,2569145
996,2569555
997,2581650
998,2596820
999,2583782
1000,2589522
1001,2595057
1002,2598009
1003,2610104
1004,2616787
1005,2616623
1006,2626135
1007,2607193
1008,2629538
1009,2620272
1010,2632941
1011,2623429
1012,2629456
1013,2644339
1014,2647127
1015,2640731
1016,2651760
1017,2672424
1018,2656721
1019,2671522
1020,2673572
1021,2679476
1022,2671891
1023,2688578
1024,2685708
1025,2682305
1026,2693170
1027,2690218
1028,2692186
1029,2722075
1030,2711210
1031,2716171
1032,2718221
1033,2716622
1034,2733145
1035,2735482
1036,2752497
1037,2749012
1038,2743395
1039,2746798
1040,2745445
1041,2749422
1042,2768323
1043,2767011
1044,2783821
1045,2789520
1046,2774514
1047,2783862
1048,2791201
1049,2792718
1050,2795383
1051,2805633
1052,2805592
1053,2789397
1054,2804075
1055,2816949
1056,2826420
1057,2804772
1058,2827691
1059,2827650
1060,2847781
1061,2840319
1062,2846961
1063,2862213
1064,2856227
1065,2853480
1066,2861557
1067,2871192
1068,2849585
1069,2860122
1070,2873898
1071,2880499
1072,2874021
1073,2877424
1074,2886526
1075,2887838
1076,2893496
1077,2906903
1078,2906780
1079,2903295
1080,2911864
1081,2916948
1082,2924492
1083,2924615
1084,2916538
1085,2924246
1086,2936833
1087,2943803
1088,2940687
1089,2943762
1090,2948395
1091,2949420
1092,2960818
1093,2962048
1094,2963319
1095,2956636
1096,2961597
1097,2975045
1098,2981851
1099,2979842
1100,3000301
1101,2990379
1102,2987509
1103,3009034
1104,3014979
1105,3009690
1106,3015553
1107,3008132
1108,3017275
1109,3031584
1110,3021539
1111,3032076
1112,3026336
1113,3032322
1114,3055692
1115,3042982
1116,3059751
1117,3047451
1118,3054134
1119,3064261
1120,3059095
1121,3074634
1122,3073527
1123,3062539
1124,3078816
1125,3093781
1126,3094150
1127,3081522
1128,3103129
1129,3086278
1130,3108910
1131,3117151
1132,3108213
1133,3112641
1134,3131009
1135,3131870
1136,3135191
1137,3134699
1138,3135273
1139,3136339
1140,3141013
1141,3148311
1142,3154051
1143,3161554
1144,3158520
1145,3177093
1146,3190869
1147,3177421
1148,3177462
1149,3188409
1150,3187466
1151,3184063
1152,3206695
1153,3217929
1154,3215346
1155,3212148
1156,3230065
1157,3213624
1158,3223218
1159,3210754
1160,3226416
1161,3229245
1162,3249909
1163,3254337
1164,3248228
1165,3262701
1166,3261348
1167,3243103
1168,3259626
1169,3272623
1170,3284144
1171,3276805
1172,3277584
1173,3289925
1174,3293287
1175,3304603
1176,3300421
1177,3304193
1178,3302963
1179,3316083
1180,3309400
1181,3332811
1182,3331786
1183,3338346
1184,3349088
1185,3342446
1186,3334328
1187,3348760
1188,3341093
1189,3351097
1190,3367210
1191,3357534
1192,3358395
1193,3374508
1194,3368727
1195,3381478
1196,3366062
1197,3374836
1198,3394967
1199,3398452
1200,3408251
1201,3390252
1202,3406898
1203,3408374
1204,3397878
1205,3410670
1206,3435188
1207,3420346
1208,3431785
1209,3416738
1210,3449989
1211,3441502
1212,3451998
1213,3452203
1214,3472539
1215,3463765
1216,3478402
1217,3485208
1218,3487381
1219,3490907
1220,3476721
1221,3482666
1222,3486233
1223,3487340
1224,3502100
1225,3504273
1226,3508865
1227,3509931
1228,3524117
1229,3516286
1230,3524978
1231,3525675
1232,3519853
1233,3552612
1234,3547938
1235,3535638
1236,3555154
1237,3562616
1238,3558393
1239,3567126
1240,3583444
1241,3576843
1242,3572497
1243,3580041
1244,3606609
1245,3600254
1246,3596113
1247,3605789
1248,3597425
1249,3599598
1250,3617925
1251,3617187
1252,3638261
1253,3621533
1254,3646666
1255,3652611
1256,3632275
1257,3642607
1258,3624731
1259,3651914
1260,3659499
1261,3656629
1262,3663107
1263,3668683
1264,3672824
1265,3679179
1266,3677621
1267,3667535
1268,3686559
1269,3697875
1270,3706977
1271,3699556
1272,3704886
1273,3692135
1274,3721450
1275,3709724
1276,3734734
1277,3724320
1278,3722065
1279,3741089
1280,3739162
1281,3734283
1282,3749207
1283,3737809
1284,3757489
1285,3758022
1286,3754373
1287,3755767
1288,3767944
1289,3778071
1290,3766222
1291,3787501
1292,3784795
1293,3787214
1294,3793569
1295,3808698
1296,3804639
1297,3807714
1298,3810625
1299,3799801
1300,3812060
1301,3816119
1302,3822474
1303,3841621
1304,3822023
1305,3845926
1306,3848263
1307,3842687
1308,3849493
1309,3839202
1310,3839120
1311,3868148
1312,3853839
1313,3866467
1314,3868066
1315,3874544
1316,3874790
1317,3870649
1318,3887172
1319,3886598
1320,3895249
1321,3901112
1322,3901932
1323,3908000
1324,3912141
1325,3927516
1326,3925302
1327,3914273
1328,3927885
1329,3936782
1330,3937274
1331,3942645
1332,3962448
1333,3945228
1334,3962448
1335,3958348
1336,3965154
1337,3971345
1338,3980570
1339,3965482
1340,3975322
1341,3988360
1342,3980406
1343,3989549
1344,3996847
1345,3996724
1346,4012304
1347,4000701
1348,4006400
1349,4000127
1350,4001726
1351,4025957
1352,4026736
1353,4026982
1354,4028335
1355,4033337
1356,4048015
1357,4045965
1358,4048302
1359,4065522
1360,4060397
1361,4060520
1362,4070237
1363,4084874
1364,4075649
1365,4110171
1366,4082783
1367,4074296
1368,4082947
1369,4095206
1370,4095780
1371,4106727
1372,4114558
1373,4113123
1374,4145431
1375,4132393
1376,4136329
1377,4120134
1378,4128908
1379,4164824
1380,4148711
1381,4152483
1382,4176140
1383,4165480
1384,4178108
1385,4171056
1386,4189014
1387,4187169
1388,4194549
1389,4211892
1390,4200986
1391,4195246
1392,4249653
1393,4234032
1394,4245799
1395,4242765
1396,4224684
1397,4230137
1398,4253302
1399,4259944
1400,4279050
1401,4261830
1402,4283068
1403,4267775
1404,4285528
1405,4282658
1406,4284093
1407,4311317
1408,4307873
1409,4324314
1410,4323043
1411,4327922
1412,4330956
1413,4337311
1414,4339771
1415,4345224
1416,4343748
1417,4336286
1418,4353629
1419,4354039
1420,4362485
1421,4389053
1422,4394465
1423,4399467
1424,4414022
1425,4387290
1426,4425174
1427,4406560
1428,4396187
1429,4412464
1430,4427675
1431,4418450
1432,4439565
1433,4452644
1434,4455842
1435,4464821
1436,4454981
1437,4473800
1438,4462279
1439,4469495
1440,4492988
1441,4484132
1442,4502049
1443,4492414
1444,4502705
1445,4506723
1446,4525419
1447,4527510
1448,4516235
1449,4521770
1450,4525993
1451,4551700
1452,4536981
1453,4567321
1454,4558465
1455,4590650
1456,4564246
1457,4561745
1458,4573676
1459,4585771
1460,4594750
1461,4606107
1462,4623368
1463,4617013
1464,4624557
1465,4620785
1466,4616603
1467,4638497
1468,4645467
1469,4652027
1470,4670149
1471,4667484
1472,4691715
1473,4678062
1474,4681916
1475,4684089
1476,4704630
1477,4705532
1478,4696635
1479,4700694
1480,4708689
1481,4732305
1482,4722465
