n,Simple_Multiplication
1260,33390007
1261,33442991
1262,33496014
1263,33549079
1264,33602183
1265,33655335
1266,33708523
1267,33761759
1268,33815034
1269,33868351
1270,33921707
1271,33975111
1272,34028554
1273,34082039
1274,34135563
1275,34189135
1276,34242746
1277,34296396
1278,34350094
1279,34403831
1280,34457610
1281,34511431
1282,34565291
1283,34619199
1284,34673146
1285,34727135
1286,34781166
1287,34835239
1288,34889354
1289,34943511
1290,34997710
1291,35051951
1292,35106234
1293,35160559
1294,35214926
1295,35269335
1296,35323786
1297,35378279
1298,35432814
1299,35487391
1300,35542010
1301,35596668
1302,35651374
1303,35706119
1304,35760906
1305,35815735
1306,35870606
1307,35925519
1308,35980474
1309,36035471
1310,36090510
1311,36145591
1312,36200714
1313,36255879
1314,36311086
1315,36366335
1316,36421626
1317,36476959
1318,36532334
1319,36587751
1320,36643207
1321,36698711
1322,36754254
1323,36809839
1324,36865466
1325,36921135
1326,36976846
1327,37032599
1328,37088394
1329,37144231
1330,37200110
1331,37256031
1332,37311994
1333,37367999
1334,37424046
1335,37480135
1336,37536266
1337,37592436
1338,37648654
1339,37704911
1340,37761207
1341,37817551
1342,37873931
1343,37930359
1344,37986826
1345,38043332
1346,38099883
1347,38156479
1348,38213111
1349,38269791
1350,38326510
1351,38383271
1352,38440074
1353,38496919
1354,38553806
1355,38610735
1356,38667703
1357,38724719
1358,38781774
1359,38838868
1360,38896010
1361,38953191
1362,39010414
1363,39067679
1364,39124986
1365,39182335
1366,39239726
1367,39297159
1368,39354634
1369,39412151
1370,39469710
1371,39527308
1372,39584954
1373,39642639
1374,39700366
1375,39758135
1376,39815946
1377,39873799
1378,39931694
1379,39989631
1380,40047610
1381,40105628
1382,40163694
1383,40221799
1384,40279946
1385,40338135
1386,40396366
1387,40454639
1388,40512954
1389,40571311
1390,40629710
1391,40688151
1392,40746634
1393,40805159
1394,40863726
1395,40922335
1396,40980983
1397,41039679
1398,41098414
1399,41157191
1400,41216007
1401,41274871
1402,41333774
1403,41392719
