n,Simple_Multiplication,Karatsuba
632,5220962,1225575
633,5237452,1227461
634,5253968,1229962
635,5270510,1225288
636,5287078,1232955
637,5303672,1235005
638,5320289,1236727
639,5336938,1242180
640,5353610,1245542
641,5370305,1253906
642,5387029,1256858
643,5403782,1261081
644,5420558,1264074
645,5437360,1266739
646,5454188,1266370
647,5471042,1266288
648,5487919,1263787
649,5504828,1267518
650,5521760,1279654
651,5538718,1271249
652,5555702,1286091
653,5572712,1280966
654,5589748,1284451
655,5606810,1281294
656,5623895,1280228
657,5641012,1298186
658,5658152,1291708
659,5675315,1290232
660,5692510,1292282
661,5709728,1305525
662,5726972,1300605
663,5744242,1308723
664,5761538,1305197
665,5778860,1309789
666,5796208,1317825
667,5813582,1321679
668,5830982,1324877
669,5848405,1318727
670,5865860,1331765
671,5883338,1320572
672,5900839,1331314
673,5918372,1332626
674,5935928,1332175
675,5953510,1339719
676,5971115,1341482
677,5988752,1344639
678,6006412,1339555
679,6024098,1349231
680,6041807,1352675
681,6059548,1354192
682,6077312,1355873
683,6095102,1362187
684,6112918,1363745
685,6130760,1369731
686,6148628,1371658
687,6166522,1372396
688,6184442,1379530
689,6202388,1376947
690,6220360,1382236
691,6238358,1387730
692,6256382,1398800
693,6274432,1387320
694,6292508,1393388
695,6310610,1404827
696,6328738,1409501
697,6346889,1418316
698,6365072,1408189
699,6383278,1429386
700,6401510,1434798
701,6419768,1423851
702,6438052,1441112
703,6456362,1451403
704,6474698,1441071
705,6493060,1444761
706,6511448,1435044
707,6529862,1449312
708,6548302,1455872
709,6566765,1452059
710,6585257,1462391
711,6603778,1460013
712,6622319,1452961
713,6640892,1470304
714,6659488,1467926
715,6678107,1476085
716,6696758,1479775
717,6715432,1498635
718,6734132,1494740
719,6752858,1490189
720,6771610,1506999
721,6790385,1488795
722,6809192,1513026
723,6828022,1502284
724,6846878,1503637
725,6865760,1512739
726,6884668,1516429
727,6903602,1521349
728,6922562,1522948
729,6941548,1530943
730,6960560,1533116
731,6979595,1533731
732,6998662,1536601
733,7017752,1555461
734,7036865,1547958
735,7056007,1564194
736,7075178,1560873
737,7094372,1553657
738,7113592,1569483
739,7132838,1572189
740,7152110,1570426
741,7171405,1580348
742,7190732,1580553
743,7210079,1583464
744,7229458,1596420
745,7248860,1594493
746,7268288,1597035
747,7287742,1594780
748,7307222,1612164
749,7326728,1614173
750,7346260,1612328
751,7365815,1624546
752,7385402,1628810
753,7405012,1628605
754,7424648,1626719
755,7444310,1636559
756,7463998,1637010
757,7483712,1637010
758,7503452,1637502
759,7523218,1653574
760,7543010,1661651
761,7562825,1651114
762,7582672,1657961
763,7602542,1667924
764,7622435,1657264
765,7642360,1658945
766,7662308,1672188
767,7682282,1669031
768,7702282,1677805
769,7722305,1686579
770,7742360,1689080
771,7762435,1691089
772,7782542,1691991
773,7802672,1714131
774,7822825,1701708
775,7843010,1708678
776,7863218,1710072
777,7883452,1717739
778,7903712,1720363
779,7923998,1737296
780,7944310,1724750
781,7964648,1724504
782,7985012,1722249
783,8005402,1751359
784,8025818,1743241
785,8046260,1746890
786,8066728,1748243
787,8087222,1750990
788,8107742,1759436
789,8128288,1760584
790,8148860,1763126
791,8169458,1766652
792,8190082,1774442
793,8210732,1772515
794,8231405,1772638
795,8252107,1780387
796,8272838,1782560
797,8293589,1792687
798,8314372,1791211
799,8335178,1786619
800,8356010,1803511
801,8376868,1821469
802,8397752,1812736
803,8418662,1823355
804,8439598,1815565
805,8460560,1819091
806,8481548,1829341
807,8502562,1833277
808,8523602,1836516
809,8544668,1842379
810,8565760,1834179
811,8586878,1848488
812,8608022,1844060
813,8629192,1849964
814,8650388,1847914
815,8671607,1867963
816,8692858,1869808
817,8714132,1866856
818,8735429,1865421
819,8756758,1880960
820,8778107,1875220
821,8799488,1881370
822,8820892,1888381
823,8842322,1881780
824,8863778,1891128
825,8885260,1899656
826,8906765,1917163
827,8928302,1905273
828,8949862,1910152
829,8971448,1916507
830,8993060,1919705
831,9014698,1922944
832,9036362,1928192
833,9058052,1938360
834,9079768,1928397
835,9101510,1928110
836,9123278,1940984
837,9145072,1941312
838,9166892,1946970
839,9188738,1942624
840,9210610,1951808
841,9232508,1951767
842,9254432,1961607
843,9276382,1957507
844,9298355,1964231
845,9320357,1955580
846,9342388,1975998
847,9364439,1970053
848,9386519,1966568
849,9408625,1990225
850,9430760,1982312
851,9452915,1984321
852,9475102,1987888
853,9497309,1994776
854,9519548,1996170
855,9541810,2000516
856,9564098,2013103
857,9586412,2016588
858,9608752,2011996
859,9631115,2015604
860,9653510,2026633
861,9675928,2037621
862,9698372,2030774
863,9720842,2042418
864,9743338,2051151
865,9765860,2049183
866,9788408,2062508
867,9810982,2053406
868,9833579,2055702
869,9856208,2055005
870,9878860,2064230
871,9901538,2082762
872,9924242,2081942
873,9946969,2088215
874,9969728,2088666
875,9992510,2092971
876,10015318,2085345
877,10038152,2099736
878,10061012,2094898
879,10083898,2105476
880,10106810,2118227
881,10129748,2114496
882,10152712,2125484
883,10175702,2138932
884,10198718,2121712
885,10221760,2131019
886,10244828,2149592
887,10267922,2153364
888,10291042,2158940
889,10314185,2172224
890,10337357,2163819
891,10360558,2171814
892,10383782,2153118
893,10407032,2177882
894,10430308,2165787
895,10453610,2183048
896,10476938,2180547
897,10500292,2189403
898,10523672,2193216
899,10547078,2207812
900,10570510,2190141
901,10593968,2197111
902,10617452,2206500
903,10640962,2200063
904,10664495,2218308
905,10688060,2208632
906,10711648,2219866
907,10735262,2229255
908,10758902,2246270
909,10782565,2231674
910,10806260,2236635
911,10829978,2242088
912,10853722,2256192
913,10877489,2259431
914,10901288,2266237
915,10925110,2253937
916,10948955,2264638
917,10972832,2271280
918,10996729,2284728
919,11020658,2283129
920,11044610,2273945
921,11068588,2291288
922,11092592,2290673
923,11116622,2284523
924,11140678,2306540
925,11164760,2297971
926,11188868,2304162
927,11212999,2317200
928,11237162,2304695
929,11261348,2331714
930,11285557,2314658
931,11309798,2327655
932,11334062,2316134
933,11358352,2324826
934,11382668,2343112
935,11407010,2340283
936,11431378,2340734
937,11455769,2358036
938,11480189,2349918
939,11504638,2339750
940,11529110,2344096
941,11553608,2359799
942,11578132,2358733
943,11602679,2374805
944,11627258,2370623
945,11651860,2380299
946,11676488,2379766
947,11701142,2390180
948,11725822,2385260
949,11750528,2392271
950,11775260,2409860
951,11800018,2407564
952,11824802,2409942
953,11849612,2414206
954,11874448,2434788
955,11899310,2433968
956,11924198,2421422
957,11949112,2430811
958,11974052,2440118
959,11999018,2444751
960,12024010,2442988
961,12049028,2446473
962,12074072,2452418
963,12099142,2449876
964,12124238,2451311
965,12149357,2464636
966,12174508,2464267
967,12199682,2479437
968,12224882,2464226
969,12250108,2473041
970,12275360,2489646
971,12300638,2491778
972,12325942,2482553
973,12351269,2484931
974,12376628,2502233
975,12402010,2496370
976,12427418,2493008
977,12452852,2499978
978,12478309,2507891
979,12503798,2501495
980,12529307,2513836
981,12554848,2519207
982,12580412,2513221
983,12605999,2525726
984,12631618,2527161
985,12657260,2512114
986,12682928,2552376
987,12708622,2538108
988,12734342,2544422
989,12760088,2554385
990,12785860,2549424
991,12811658,2553770
992,12837482,2567300
993,12863332,2583249
994,12889208,2570129
995,12915110,2565209
996,12941038,2587144
997,12966989,2586570
998,12992972,2584233
999,13018978,2600674
1000,13045010,2598665
1001,13071068,2585914
1002,13097152,2600674
1003,13123262,2591736
1004,13149398,2603749
1005,13175560,2602929
1006,13201748,2608546
1007,13227962,2619657
1008,13254202,2618468
1009,13280465,2621420
1010,13306760,2616213
1011,13333078,2625520
1012,13359422,2626012
1013,13385792,2628144
1014,13412188,2651063
1015,13438610,2637041
1016,13465058,2668980
1017,13491532,2653154
1018,13518032,2653892
1019,13544558,2668283
1020,13571110,2667094
1021,13597688,2680829
1022,13624292,2673654
1023,13650922,2673982
1024,13677578,2692719
1025,13704257,2705347
1026,13730968,2689603
1027,13757702,2690751
1028,13784462,2712440
1029,13811248,2705265
1030,13838057,2711579
1031,13864898,2719574
1032,13891762,2715351
1033,13918652,2736507
1034,13945568,2726421
1035,13972510,2742657
1036,13999478,2750488
1037,14026472,2749299
1038,14053492,2748028
1039,14080538,2755982
1040,14107610,2749340
1041,14134708,2766109
1042,14161832,2772997
1043,14188982,2758073
1044,14216158,2768610
1045,14243360,2783411
1046,14270588,2772505
1047,14297839,2784559
1048,14325122,2780869
1049,14352428,2798458
1050,14379760,2793784
1051,14407118,2783821
1052,14434499,2816621
1053,14461912,2819327
1054,14489348,2809446
1055,14516810,2816867
1056,14544298,2819860
1057,14571812,2829003
1058,14599352,2835399
1059,14626918,2830889
1060,14654510,2833882
1061,14682128,2839991
1062,14709769,2847945
1063,14737442,2852332
1064,14765135,2838064
1065,14792857,2847494
1066,14820608,2854587
1067,14848382,2858400
1068,14876182,2844255
1069,14904008,2862869
1070,14931860,2865247
1071,14959738,2870987
1072,14987642,2884599
1073,15015572,2885706
1074,15043528,2890544
1075,15071510,2896079
1076,15099518,2892922
1077,15127552,2887715
1078,15155612,2908584
1079,15183695,2912192
1080,15211807,2909527
1081,15239948,2903705
1082,15268112,2933471
1083,15296302,2927977
1084,15324518,2921704
1085,15352760,2936054
1086,15381028,2924041
1087,15409322,2944377
1088,15437642,2945238
1089,15465988,2950240
1090,15494360,2951060
1091,15522758,2958809
1092,15551182,2961146
1093,15579632,2963073
1094,15608105,2970617
1095,15636610,2965656
1096,15665135,2972216
